Word 1,Word 2
البته (albateh),Of course
گرما (garmā),Heat
تلویزیون (televīzyon),Television
دوست (dūst) - dūst,Friend
فیلم (film),Movie
ریه (reyh),Lung
نودل (nūdl),Noodle
به احتمال زیاد (be ehtemāl-e ziyād),Most likely
خیابان مسکونی (khīābān-e maskūnī),Residential street
پیشرفت (pishraft),Progress
درخت (derakht),Tree
شامپو (shāmpū),Shampoo
رودخانه (rūdkhāneh),River
مو (mū),Hair
دویدن (dūīdan),Run
مستقیم (mostaqīm),Straight
برفی (barfī),Snowy
تجربه (tajrobe),Experience
پیاز (pyāz),Onion
سرد (sard),Cold
جلو (jolo),In front of
لباس تابستانی (lebās-e tābestānī),Summer clothes
پایین (pāyīn),Down
آتش (ātesh),Fire
صنعت (san'at),Industry
سخت‌تر (sakhtar),Harder
اصولا (osūla),Generally
مار (mār),Snake
موتور (mūtor),Motorcycle
تئاتر (te'āter),Theater
به‌صورت کلی (be-sūrat-e kollī),Overall
انگور (angūr),Grape
معبد (ma'bad),Temple
بزرگ (bozorg),Big
بدترین (badtarin),Worst
پیش (pīsh),Forward
بیش‌تر (bīshtar),More
مرده (murda),Dead
کفش ورزشی (kafsh-e varzeshī),Sports shoes
کلید (kalīd),Key
به آسانی (be āsānī),Effortlessly
ممکن (momken),Possible
فلفل (felfel),Pepper
انگور (angūr),Grape
خوشحالانه (khoshhālāneh),Happily
تازه (tāze),Fresh
مدرسه (madrese) - madrese,School
تجارت (tijārat),Trade
نان (nān),Bread
درست (dorost),Correct
سفید (safīd),White
ناهار (nāhār),Lunch
هواپیما (havāpeymā),Airplane
به دقت (be daqat),Carefully
خوب (khūb),Fine
آره (āre),Yes
مجموعه (majmue),Collection
دل (del),Heart
نرم (narm),Soft
قدیمی (qadīmī),Old
میوه (miveh),Fruit
خبر (khabar) - khabar,News
استاندارد (estāndārd),Standard
شنا (shenā),Swimming
آینه دست (āyene dast),Hand mirror
هوا (havā),Air
به سرعت (be sor'at),Quickly
خوشحالی (khoshhālī),Happiness
فرصت (forsat),Opportunity
میز (mīz),Table
به‌طور یکسان (be-tor-e yeksān),Uniformly
دهان (dahān),Mouth
ساز (sāz),Instrument
زود (zūd),Fast
میوه (miveh) - miveh,Fruit
استاد (ostād),Teacher
جلوی (jelooye),In front of
خانه (khāneh),House
کوچک (kūchak),Small
گریه (geryeh),Crying
کار (kār) - kār,Work
داخل (dākhel),Inside
ابزار (ābzār),Tool
حتما (hatman),Definitely
نقاشی (naqāshī),Painting
تصویر (tasvīr),Image
پاستا (pāstā),Pasta
مرغ (morgh),Bird
توت (tūt),Berry
لباس (lebās),Clothes
صابون (sābūn),Soap
عشق (eshq) - eshq,Love
خواب (khāb) - khāb,Dream
فورا (forā),Immediately
سینما (sīnemā),Cinema
زمین (zamīn),Ground
مهر (mohr),Ring (seal)
داخل (dākhel),Inside
به‌تدریج (be tadrīj),Gradually
دریا (daryā),Sea
مهربان (mehrābān),Kind
همیشه (hamīshe),Always
بزرگ (bozorg),Big
با تمام وجود (bā tamām vajūd),With all one's heart
همین (hamīn),This
تو (to),In
کوهستان (kūhestān),Mountainous
ظرف (zārf),Container
بین (bīn),Between
پارک (pārk),Park
دستگاه (dastgāh),Device
قبله (qeble),Ugly
سقفی (saqfī),Ceilingy
پنجره‌ای (panjere'ī),Windowy
عجیب‌ترین (ajībtarīn),The strangest
عجیب (ajīb),Strange
تلفن (telefon),Telephone
شب (shab),Night
هوا (havā) - havā,Weather
بدترین (badtarin),The least beautiful
میوه (miveh),Fruit
چاق (chāq),Chubby
گاهی (gāhī),Sometimes
کیلوگرم (kīlogrām),Kilogram
دسته (daste),Set
کامپیوتر (kāmputar) - kāmputar,Computer
کی (kī),When
جلیقه (jelīqeh),Vest
شیرینی (shīrīnī),Sweet
کیف پول (kīf-e pūl),Wallet
سالم (sālem),Healthy
نظریه (nazariye),Theory
صبح (sobh) - sobh,Morning
میدان (meydān),Square
حداقل (haddāqal),Minimum
کتابخانه (ketābkhāneh),Library
دستمال مرطوب (dastmāl-e morṭūb),Wet wipes
موبایل (mobāyl) - mobāyl,Mobile phone
به آرامی (be ārāmī),With ease
حس (hes),Feeling
قشنگ (qashang),Pretty
از (az),From
پر (por),Full
گوشی هوشمند (gūshī hūshmand),Smartphone
نظاره (nazāre),Observation
غلط (ghalat),Incorrect
کتاب (ketāb),Book
قبلا (qablā),Previously
تلفن (telefon),Telephone
ماست (māst),Yogurt
سنگین (sangīn),Heavy
زیاد (ziyād),Much/More
